wardId,lat,lng
8974,21.0157988,106.5219001
5902,20.9971447,106.493598
8718,20.8092206,106.6408832
27918,20.9255146,106.293129
526,20.9508728,106.2580983
3857,10.3935792,105.4009508
1553,10.6862421,105.1142011
9745,10.5146129,105.044052
16401,10.392522,104.5014479
5137,10.7738259,105.2253316
3601,10.3706358,105.4243804
4113,10.3207567,105.4419546
16145,9.966536999999999,105.1142011
4881,10.7992233,105.2435891
8977,10.6084301,105.0265195
9233,10.6055072,104.9739333
16657,10.3706478,104.5014479
1297,10.6666395,105.0674317
1041,10.0545385,105.0908147
23826,21.2847676,106.2169139
5906,21.1220857,106.1639749
25362,21.1823301,106.2580983
15378,21.385989,106.5937658
24082,21.2946023,106.1757379
5650,21.122707,106.2169139
2834,21.1309825,105.9523622
1810,21.1428068,106.0698963
1042,21.2018571,106.0581397
3602,21.0571879,106.1169299
2066,21.1509647,106.1051705
23058,21.2308811,106.1169299
5394,21.1938481,106.140451
4626,21.0131464,106.0934117
3090,21.1552854,105.9406128
5138,21.160257,106.1286901
15634,21.3244625,106.458256
4882,21.1504557,106.1698563
4370,21.0199437,106.022874
2578,21.1530247,105.9641124
24594,21.2367198,106.293406
25106,21.2557682,106.2155146
3346,21.0490218,106.0816536
24338,21.2324597,106.1852014
3858,21.0315647,106.1139408
4114,21.0535594,106.0346285
22546,21.2933742,106.0698963
2322,21.1066811,105.9641124
23314,21.2183317,106.0375673
22802,21.2939985,106.1228099
1298,21.168249,106.0463837
1554,21.1868491,106.0934117
24850,21.1921595,106.2169139
12307,9.2330595,105.2019295
5907,9.2861871,105.7057792
6675,9.2828018,105.4185227
6419,9.245711799999999,105.7703287
5139,9.1475493,105.1902297
6931,9.2558895,105.5123274
4883,9.150037,105.1317431
5395,9.2383838,105.4575093
6163,9.3090846,105.7938069
2575,10.0103576,105.7380511
15887,10.0725558,105.7409852
2319,10.0485897,105.7879371
3855,9.9847041,105.7644596
13583,9.8468799,105.8172881
4111,9.9932689,105.8114175
18959,9.4068611,106.0052437
11279,9.728205899999999,105.5826123
11535,9.704416,105.629523
11791,9.639626999999999,105.629523
2063,10.0303178,105.7175138
19471,9.453873,105.5650239
24079,9.5658611,105.9406128
13839,9.8170097,105.8202234
19215,9.5647447,105.5978281
3087,10.0354671,105.7791327
4367,10.115935,105.629523
23567,9.5959682,105.9876149
4879,10.0713905,105.652983
23823,9.6220704,106.0052437
3343,10.0257649,105.7556564
2831,10.2320054,105.5884754
3599,10.0851109,105.7057792
4623,10.1616459,105.5826123
16143,10.2903986,105.5064087
16399,10.2279968,105.5591615
5135,10.2520293,105.5122694
8975,9.7831191,105.4478131
8719,9.7609392,105.4595306
18703,9.3413311,106.0287512
18447,9.324166,105.9347384
788,22.6883818,106.2463305
532,22.6486318,106.2669247
276,22.6764993,106.1933837
533,13.1226876,109.2891005
6165,12.8968152,108.2496145
4629,12.7131519,108.0361555
6421,12.7931834,108.2318208
20501,12.9717998,109.3188387
5653,12.6248705,108.0361555
277,12.9951822,109.3723721
1813,13.0437749,109.3128909
24853,13.5066337,109.2474701
4885,12.702178,108.0746859
5141,12.9894531,108.9550518
5397,12.6774087,107.9946667
25365,13.0836818,109.295048
2069,13.4010178,109.2207098
8214,21.4258502,103.0472164
2838,22.0141446,103.1509672
8470,21.3834029,103.0157331
2840,10.4937989,105.6881788
25368,10.4182668,106.6232359
15896,10.4050639,106.1186715
8216,10.4422401,105.629523
19736,10.3829143,106.3516912
24856,10.3506998,106.6703963
3096,10.8486265,105.3716684
25112,10.3602893,106.6939803
8472,10.5294622,105.629523
19992,10.3763987,106.3875898
15384,10.4665054,106.1169299
19480,10.3527424,106.3728707
8728,10.478332,105.6705801
16152,10.3956683,106.1727971
10520,10.3057678,105.7468535
25624,10.4272354,106.6586052
15640,10.3941584,106.0963513
20248,10.3334766,106.3257768
3352,10.8667084,105.3225475
20504,10.3586604,106.3268201
11033,13.978871,108.6056873
10777,13.9954876,108.6769451
24601,13.9206155,109.0572086
25625,13.931977,109.1226018
24857,13.9107455,109.1107114
25369,13.852122,109.0809868
5657,13.9834754,108.0806141
14873,13.4089836,108.4335393
24345,13.8923898,109.0631531
25881,14.4119073,109.0334318
5401,13.9555756,107.9709613
26137,14.501076,109.0334318
27417,14.6146185,109.0096562
26649,14.4525137,109.0809868
