so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
153,Đak Pơ,Gia Lai,,2003.0,40442.0,5025.0,80.0,8.0
154,Đắk R'lấp,Đắk Nông,,1986.0,83555.0,6357.0,131.0,11.0
155,Đắk Song,Đắk Nông,,2001.0,80514.0,8065.0,100.0,9.0
156,Đăk Tô,Kon Tum,,1946.0,47544.0,5087.0,93.0,9.0
157,Đầm Dơi,Cà Mau,,1956.0,175629.0,8100.0,217.0,16.0
158,Đầm Hà,Quảng Ninh,,1946.0,41217.0,3269.0,126.0,9.0
159,Đam Rông,Lâm Đồng,,2004.0,54217.0,8721.0,62.0,8.0
160,Đan Phượng,Hà Nội,,1832.0,174501.0,780.0,2.237,16.0
161,Dầu Tiếng,Bình Dương,,1946.0,112472.0,7211.0,156.0,12.0
162,Dĩ An,Bình Dương,thành phố,,403760.0,601.0,6.718,7.0
163,Di Linh,Lâm Đồng,,,159994.0,16142.0,99.0,19.0
164,Điện Bàn,Quảng Nam,thị xã,,226564.0,2163.0,1.047,20.0
165,Điện Biên,Điện Biên,,,93850.0,13960.0,67.0,21.0
166,Điện Biên Đông,Điện Biên,,1995.0,67080.0,12090.0,55.0,14.0
167,Điện Biên Phủ,Điện Biên,thành phố,,80366.0,3082.0,261.0,12.0
168,Diễn Châu,Nghệ An,,,312506.0,3050.0,1.025,32.0
169,Diên Khánh,Khánh Hòa,,,143211.0,3376.0,424.0,17.0
170,Định Hóa,Thái Nguyên,,,89288.0,5135.0,174.0,22.0
171,Đình Lập,Lạng Sơn,,,28579.0,11896.0,24.0,12.0
172,Định Quán,Đồng Nai,,1957.0,265925.0,97288.0,273.0,14.0
173,Đô Lương,Nghệ An,,1963.0,213543.0,3501.0,610.0,32.0
174,Đồ Sơn,Hải Phòng,quận,,49029.0,459.0,1.068,6.0
175,Đoan Hùng,Phú Thọ,,,115131.0,3029.0,380.0,14.0
176,Đơn Dương,Lâm Đồng,,,107281.0,6114.0,175.0,9.0
177,Đông Anh,Hà Nội,,1903.0,405749.0,1856.0,2.186,24.0
178,Đống Đa,Hà Nội,quận,,371606.0,100.0,37.161,17.0
179,Đông Giang,Quảng Nam,,2003.0,25116.0,8219.0,31.0,11.0
180,Đông Hà,Quảng Trị,thành phố,,95658.0,730.0,1.31,9.0
181,Đông Hải,Bạc Liêu,,2001.0,152619.0,5701.0,268.0,11.0
182,Đông Hòa,Phú Yên,thị xã,,119991.0,2656.0,452.0,10.0
183,Đồng Hới,Quảng Bình,thành phố,,133672.0,1559.0,857.0,15.0
184,Đông Hưng,Thái Bình,,1969.0,244838.0,1993.0,1.228,32.0
185,Đồng Hỷ,Thái Nguyên,,,92421.0,4277.0,216.0,14.0
186,Đồng Phú,Bình Phước,,1977.0,127559.0,93445.0,137.0,11.0
187,Đông Triều,Quảng Ninh,thành phố,,171673.0,3966.0,433.0,19.0
188,Đồng Văn,Hà Giang,,1906.0,81880.0,4517.0,181.0,19.0
189,Đồng Xoài,Bình Phước,thành phố,,147327.0,16771.0,878.0,8.0
190,Đồng Xuân,Phú Yên,,,55030.0,10333.0,53.0,11.0
191,Đức Cơ,Gia Lai,,1991.0,75718.0,7219.0,105.0,10.0
192,Đức Hòa,Long An,,1913.0,315711.0,4251.0,743.0,20.0
193,Đức Huệ,Long An,,1959.0,65961.0,4289.0,154.0,11.0
194,Đức Linh,Bình Thuận,,,126035.0,5466.0,231.0,12.0
195,Đức Phổ,Quảng Ngãi,thị xã,,150927.0,3728.0,405.0,15.0
196,Đức Thọ,Hà Tĩnh,,1822.0,101562.0,2035.0,499.0,16.0
197,Đức Trọng,Lâm Đồng,,,186974.0,9036.0,207.0,15.0
198,Dương Kinh,Hải Phòng,quận,,60319.0,468.0,1.289,6.0
199,Dương Minh Châu,Tây Ninh,,1951.0,119158.0,4356.0,274.0,11.0
200,Duy Tiên,Hà Nam,thị xã,,177150.0,1209.0,1.363,15.0
201,Duy Xuyên,Quảng Nam,,,126686.0,3092.0,410.0,13.0
202,Duyên Hải,Trà Vinh,thị xã,,48210.0,1751.0,275.0,7.0
203,Duyên Hải,Trà Vinh,,1981.0,78444.0,3054.0,257.0,7.0
204,Ea H'leo,Đắk Lắk,,1980.0,136880.0,13351.0,103.0,12.0
205,Ea Kar,Đắk Lắk,,1986.0,144450.0,10375.0,139.0,16.0
206,Ea Súp,Đắk Lắk,,1977.0,70724.0,17656.0,40.0,10.0
207,Gia Bình,Bắc Ninh,,,132297.0,1076.0,1.23,14.0
208,Gia Lâm,Hà Nội,,,286102.0,1167.0,2.452,17.0
209,Gia Lộc,Hải Dương,,,115617.0,997.0,1.16,14.0
210,Gia Nghĩa,Đắk Nông,thành phố,,85082.0,2841.0,299.0,8.0
211,Giá Rai,Bạc Liêu,thị xã,,143613.0,3550.0,405.0,10.0
212,Gia Viễn,Ninh Bình,,,120992.0,1767.0,685.0,21.0
213,Giang Thành,Kiên Giang,,2009.0,29215.0,4128.0,71.0,5.0
214,Giao Thủy,Nam Định,,1934.0,167752.0,2378.0,705.0,20.0
215,Gio Linh,Quảng Trị,,,75276.0,4738.0,159.0,14.0
216,Giồng Riềng,Kiên Giang,,1920.0,224655.0,6394.0,351.0,19.0
217,Giồng Trôm,Bến Tre,,1956.0,169987.0,3126.0,544.0,21.0
218,Gò Công,Tiền Giang,thành phố,,99657.0,1017.0,980.0,10.0
219,Gò Công Đông,Tiền Giang,,1979.0,139060.0,2732.0,509.0,13.0
